,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD
Albacete.txt,1605.293355,2.929497,0.116461,2.976411,0.031520,8.380829,36.057566,5.710261
Alcala.txt,1615.304126,2.451039,0.136451,4.559123,0.019854,7.591469,55.583827,4.874116
Alcobendas.txt,1386.626321,2.882984,0.289423,3.843857,0.069676,12.998986,45.886723,9.320043
Alcorcon.txt,787.044792,3.295528,0.161214,3.023467,0.028205,9.644223,43.879007,6.077800
Algeciras.txt,1063.319019,2.044908,0.063300,2.629819,0.013341,5.460983,38.065313,3.687046
Alicante.txt,2644.252980,1.662929,0.133360,2.778957,0.026882,8.629026,35.448592,5.137771
Almeria.txt,1221.025597,2.647566,0.047095,3.179176,0.011569,4.981105,39.172147,3.608059
Avila.txt,1221.025597,2.647566,0.047095,3.179176,0.011569,4.981105,39.172147,3.608059
Badagoz.txt,2459.102190,2.496544,0.117638,3.880530,0.017477,7.522677,39.867536,4.287598
Badalona.txt,681.177151,4.079243,0.045908,2.010601,0.014343,5.476681,28.199631,4.179474
Barcelona.txt,4436.370992,1.165791,0.063782,4.135431,0.024406,6.204639,41.995155,5.018938
Burgos.txt,1736.579705,2.081176,0.185730,5.610663,0.030097,8.833211,58.938853,5.566782
Caceres.txt,1004.264138,10.801445,0.087993,15.591491,0.017182,6.305038,78.210549,4.368000
Cadiz.txt,346.913230,4.314831,0.069410,1.354117,0.022331,6.344666,26.279749,4.660830
Cartagena.txt,2538.032439,5.180597,0.061825,12.172446,0.015923,5.606110,56.254443,4.020624
Castello.txt,1065.590722,6.736165,0.072494,7.510539,0.015936,6.126644,50.773006,4.231785
Ceuta.txt,349.661790,3.370658,0.051300,2.274088,0.009016,4.634200,37.428848,3.044126
CiudadReal.txt,575.896521,7.185502,0.079963,4.279406,0.023164,6.736786,39.660272,5.021657
Cordoba.txt,3892.869064,1.245034,0.112670,2.730728,0.027762,8.262326,35.027020,5.389476
Corunia.txt,1141.314854,2.346480,0.078695,3.041818,0.018810,6.538037,35.027020,4.529875
Cuenca.txt,478.304019,3.312846,0.074433,1.729964,0.013484,6.117953,36.723471,3.713148
DosHermanas.txt,1925.880926,4.048958,0.081792,8.973081,0.014760,6.152659,56.908686,3.957091
Elche.txt,1986.561847,3.488935,0.111261,3.578773,0.025248,8.125683,34.893413,5.101094
Fuentelabrada.txt,986.885580,4.797541,0.123561,4.437921,0.034045,9.006354,42.055108,6.179378
Getafe.txt,1333.511318,3.280688,0.090377,4.404839,0.018878,6.498853,48.168808,4.376008
Gijon.txt,2071.146768,3.374090,0.141714,7.742569,0.036526,8.640796,59.908947,5.967553
Girona.txt,679.734461,1.979426,0.072266,1.115294,0.026972,6.890680,23.841674,5.343331
Granada.txt,1395.765302,4.125408,0.072981,4.751803,0.015907,5.810415,43.193601,3.975179
Guadalajara.txt,788.017019,3.078340,0.104845,3.024986,0.019503,7.150348,43.903155,4.658112
Hospitalet.txt,629.336224,2.738342,0.060023,2.476622,0.017624,5.836993,37.187806,4.335084
Huelva.txt,723.771461,6.668003,0.072836,8.179238,0.018571,5.920937,61.218199,4.433064
Huesca.txt,388.279842,2.759404,0.100931,1.452965,0.036755,8.069576,30.759632,6.251830
